110.00, 324.00, 95.00, 324.00
110.00, 324.00, 95.00, 324.00
110.00, 324.00, 95.00, 324.00
110.00, 324.00, 95.00, 324.00
110.00, 324.00, 95.00, 324.00
110.00, 324.00, 95.00, 324.00
110.00, 324.00, 95.00, 324.00
110.00, 323.00, 95.00, 323.00
110.00, 323.00, 95.00, 323.00
110.00, 324.00, 95.00, 324.00
110.00, 324.00, 95.00, 324.00
110.00, 324.00, 95.00, 324.00
110.00, 324.00, 95.00, 324.00
110.00, 323.00, 95.00, 323.00
110.00, 324.00, 95.00, 324.00
110.00, 324.00, 95.00, 324.00
110.00, 324.00, 95.00, 324.00
110.00, 323.00, 95.00, 323.00
110.00, 324.00, 95.00, 324.00
110.00, 323.00, 95.00, 323.00
110.00, 323.00, 95.00, 323.00
110.00, 324.00, 95.00, 324.00
110.00, 323.00, 95.00, 323.00
110.00, 323.00, 95.00, 323.00
110.00, 323.00, 95.00, 323.00
110.00, 297.00, 95.00, 297.00
110.00, 292.00, 95.00, 292.00
110.00, 295.00, 95.00, 295.00
80.00, 294.00, 95.00, 294.00
80.00, 292.00, 95.00, 292.00
80.00, 292.00, 95.00, 292.00
80.00, 292.00, 95.00, 292.00
80.00, 290.00, 95.00, 290.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 288.00, 95.00, 288.00
80.00, 288.00, 95.00, 288.00
80.00, 288.00, 95.00, 288.00
80.00, 288.00, 95.00, 288.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
80.00, 289.00, 95.00, 289.00
