current_x, current_y, calc_x, calc_y, distance
2.40, 0.66, 2.38, 0.78, 0.12
2.39, 0.66, 2.37, 0.78, 0.12
2.38, 0.66, 2.36, 0.78, 0.12
2.37, 0.66, 2.35, 0.78, 0.12
2.36, 0.65, 2.34, 0.78, 0.13
2.36, 0.66, 2.34, 0.78, 0.12
2.35, 0.66, 2.33, 0.77, 0.12
2.34, 0.66, 2.32, 0.77, 0.11
2.33, 0.65, 2.31, 0.77, 0.12
2.33, 0.65, 2.31, 0.77, 0.12
2.32, 0.65, 2.30, 0.77, 0.12
2.31, 0.66, 2.30, 0.77, 0.11
2.31, 0.66, 2.30, 0.77, 0.11
2.30, 0.65, 2.29, 0.77, 0.12
2.29, 0.65, 2.28, 0.77, 0.12
2.29, 0.66, 2.28, 0.77, 0.11
2.28, 0.66, 2.27, 0.77, 0.11
2.28, 0.66, 2.27, 0.77, 0.11
2.27, 0.65, 2.26, 0.77, 0.12
2.27, 0.66, 2.26, 0.77, 0.11
2.27, 0.66, 2.26, 0.77, 0.11
2.27, 0.66, 2.26, 0.77, 0.11
2.27, 0.66, 2.26, 0.77, 0.11
2.27, 0.66, 2.26, 0.77, 0.11
2.27, 0.66, 2.26, 0.77, 0.11
2.27, 0.66, 2.26, 0.77, 0.11
2.26, 0.66, 2.25, 0.76, 0.10
2.26, 0.66, 2.25, 0.76, 0.10
2.25, 0.66, 2.24, 0.76, 0.10
2.25, 0.66, 2.24, 0.76, 0.10
2.24, 0.66, 2.23, 0.76, 0.10
2.24, 0.67, 2.23, 0.76, 0.09
2.23, 0.67, 2.22, 0.76, 0.09
2.23, 0.67, 2.22, 0.76, 0.09
2.23, 0.67, 2.22, 0.76, 0.09
2.22, 0.67, 2.22, 0.76, 0.09
2.21, 0.67, 2.21, 0.76, 0.09
2.21, 0.68, 2.21, 0.76, 0.08
2.21, 0.68, 2.21, 0.76, 0.08
2.20, 0.68, 2.20, 0.76, 0.08
2.19, 0.68, 2.19, 0.76, 0.08
2.19, 0.68, 2.19, 0.76, 0.08
2.18, 0.68, 2.18, 0.76, 0.08
2.17, 0.68, 2.17, 0.76, 0.08
2.17, 0.68, 2.17, 0.76, 0.08
2.16, 0.68, 2.16, 0.76, 0.08
2.16, 0.68, 2.16, 0.76, 0.08
2.15, 0.68, 2.15, 0.76, 0.08
2.14, 0.68, 2.14, 0.76, 0.08
2.14, 0.68, 2.14, 0.76, 0.08
2.13, 0.68, 2.13, 0.76, 0.08
2.12, 0.68, 2.12, 0.76, 0.08
2.12, 0.68, 2.12, 0.76, 0.08
2.11, 0.68, 2.11, 0.76, 0.08
2.10, 0.68, 2.10, 0.76, 0.08
2.10, 0.68, 2.10, 0.76, 0.08
2.09, 0.68, 2.09, 0.76, 0.08
2.09, 0.68, 2.09, 0.76, 0.08
2.09, 0.68, 2.09, 0.76, 0.08
2.08, 0.68, 2.08, 0.76, 0.08
2.07, 0.68, 2.08, 0.76, 0.08
2.07, 0.67, 2.08, 0.76, 0.09
2.06, 0.67, 2.07, 0.76, 0.09
2.06, 0.67, 2.07, 0.76, 0.09
2.05, 0.67, 2.06, 0.76, 0.09
2.04, 0.67, 2.05, 0.76, 0.09
2.04, 0.67, 2.05, 0.76, 0.09
2.03, 0.67, 2.04, 0.77, 0.10
2.02, 0.67, 2.03, 0.77, 0.10
2.01, 0.67, 2.02, 0.77, 0.10
2.01, 0.67, 2.02, 0.77, 0.10
2.00, 0.67, 2.01, 0.77, 0.10
2.00, 0.67, 2.01, 0.77, 0.10
1.99, 0.66, 2.00, 0.77, 0.11
