Projected direction: -58.25, error: -58.25, derivative: 0.57, control var: -17.08, steering_command 150
Projected direction: -58.61, error: -58.61, derivative: -0.36, control var: -17.83, steering_command 153
Projected direction: -53.75, error: -53.75, derivative: 4.86, control var: -12.73, steering_command 135
Projected direction: -54.40, error: -54.40, derivative: -0.65, control var: -16.77, steering_command 149
Projected direction: -55.76, error: -55.76, derivative: -1.36, control var: -17.68, steering_command 152
Projected direction: -53.81, error: -53.81, derivative: 1.95, control var: -14.78, steering_command 142
Projected direction: -56.19, error: -56.19, derivative: -2.38, control var: -18.52, steering_command 155
Projected direction: -54.94, error: -54.94, derivative: 1.25, control var: -15.61, steering_command 145
Projected direction: -56.27, error: -56.27, derivative: -1.33, control var: -17.81, steering_command 153
Projected direction: -55.21, error: -55.21, derivative: 1.07, control var: -15.82, steering_command 146
Projected direction: -55.41, error: -55.41, derivative: -0.21, control var: -16.77, steering_command 149
Projected direction: -54.55, error: -54.55, derivative: 0.86, control var: -15.76, steering_command 145
Projected direction: -56.15, error: -56.15, derivative: -1.61, control var: -17.97, steering_command 153
Projected direction: -57.47, error: -57.47, derivative: -1.31, control var: -18.16, steering_command 154
Projected direction: -56.21, error: -56.21, derivative: 1.26, control var: -15.98, steering_command 146
Projected direction: -55.94, error: -55.94, derivative: 0.26, control var: -16.60, steering_command 148
Projected direction: -55.68, error: -55.68, derivative: 0.26, control var: -16.52, steering_command 148
Projected direction: -54.60, error: -54.60, derivative: 1.08, control var: -15.63, steering_command 145
Projected direction: -52.47, error: -52.47, derivative: 2.14, control var: -14.24, steering_command 140
Projected direction: -55.75, error: -55.75, derivative: -3.29, control var: -19.03, steering_command 157
Projected direction: -55.27, error: -55.27, derivative: 0.48, control var: -16.24, steering_command 147
Projected direction: -53.14, error: -53.14, derivative: 2.13, control var: -14.45, steering_command 141
Projected direction: -52.71, error: -52.71, derivative: 0.43, control var: -15.51, steering_command 145
Projected direction: -54.23, error: -54.23, derivative: -1.52, control var: -17.34, steering_command 151
Projected direction: -54.61, error: -54.61, derivative: -0.38, control var: -16.65, steering_command 148
