Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 3.94, steering_command 77
Projected direction: 4.37, error: 4.37, derivative: -0.01, control var: 3.93, steering_command 77
Projected direction: 4.38, error: 4.38, derivative: 0.01, control var: 3.94, steering_command 77
Projected direction: 4.38, error: 4.38, derivative: 0.01, control var: 3.95, steering_command 77
Projected direction: 4.39, error: 4.39, derivative: 0.01, control var: 3.95, steering_command 77
Projected direction: 4.38, error: 4.38, derivative: -0.01, control var: 3.94, steering_command 77
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 3.94, steering_command 77
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 3.94, steering_command 77
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 3.94, steering_command 77
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 3.94, steering_command 77
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 3.94, steering_command 77
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 3.94, steering_command 77
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 3.94, steering_command 77
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 3.94, steering_command 77
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 3.94, steering_command 77
Projected direction: 4.38, error: 4.38, derivative: 4.38, control var: 4.82, steering_command 74
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 0.87, steering_command 87
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 0.88, steering_command 87
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 0.88, steering_command 87
Projected direction: 4.37, error: 4.37, derivative: -0.00, control var: 0.87, steering_command 87
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 0.88, steering_command 87
Projected direction: 4.37, error: 4.37, derivative: -0.00, control var: 0.87, steering_command 87
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 0.88, steering_command 87
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 0.88, steering_command 87
Projected direction: 4.37, error: 4.37, derivative: -0.01, control var: 0.87, steering_command 87
Projected direction: 4.38, error: 4.38, derivative: 0.01, control var: 0.88, steering_command 87
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 0.87, steering_command 87
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 0.88, steering_command 87
Projected direction: 3.43, error: 3.43, derivative: 3.43, control var: 3.78, steering_command 77
Projected direction: 3.56, error: 3.56, derivative: 0.13, control var: 0.83, steering_command 88
Projected direction: 3.57, error: 3.57, derivative: 0.01, control var: 0.72, steering_command 88
Projected direction: 3.70, error: 3.70, derivative: 0.13, control var: 0.86, steering_command 87
Projected direction: 3.35, error: 3.35, derivative: -0.35, control var: 0.35, steering_command 89
Projected direction: 3.54, error: 3.54, derivative: 0.19, control var: 0.88, steering_command 87
Projected direction: 3.65, error: 3.65, derivative: 0.11, control var: 0.83, steering_command 88
Projected direction: 3.53, error: 3.53, derivative: -0.11, control var: 0.60, steering_command 88
Projected direction: 3.51, error: 3.51, derivative: -0.02, control var: 0.68, steering_command 88
Projected direction: 3.50, error: 3.50, derivative: -0.01, control var: 0.69, steering_command 88
Projected direction: 3.62, error: 3.62, derivative: 0.12, control var: 0.83, steering_command 88
